job_id,title,category,company,location,seniority,salary_range,employment_type,job_summary,main_responsibilities,required_skills,preferred_skills
JP111,HR Manager,HR,PeopleFirst,"Warszawa, Polska (hybrydowo)",Senior,15 000-20 000 PLN brutto,Umowa o pracę,Zarządzanie całością procesów HR w organizacji 300-osobowej w fazie skalowania.,"Strategia HR, rekrutacja, rozwój talentów, employer branding, compliance, KPI HR.","HR strategy, prawo pracy, performance management, angielski B2","Certyfikat CIPD/SHRM, doświadczenie w scale-up"
JP112,Talent Acquisition Specialist,HR,TalentBridge,100% remote (PL),Mid,10 000-14 000 PLN brutto,Umowa o pracę,End-to-end rekrutacja specjalistów IT i budowa pipeline’u kandydatów.,"Sourcing LinkedIn X-Ray, prowadzenie interview, współpraca z menedżerami, ATS, employer branding.","E2E recruitment, sourcing, ATS, angielski B2","Certyfikat LinkedIn Recruiter, Boolean mastery"
JP113,HR Business Partner,HR,BizGrowth,"Kraków, Polska (on-site)",Senior,16 000-21 000 PLN brutto,Umowa o pracę,Partnerstwo strategiczne z kadrą zarządzającą w zakresie planu people strategy.,"Doradztwo HR, projekty rozwojowe, analityka HR, coaching liderów, kultura organizacyjna.","HRBP, change management, analiza danych, angielski C1","Certyfikat SHRM-SCP, doświadczenie w M&A"
JP114,Learning & Development Specialist,HR,SkillForge,"Gdańsk, Polska (hybrydowo)",Mid,9 000-12 500 PLN brutto,Umowa o pracę,Projektowanie i wdrażanie programów szkoleniowych dla organizacji tech 500+.,"Analiza potrzeb szkoleniowych, e-learning, workshopy, ewaluacja Kirkpatrick, LMS.
","L&D, instructional design, e-learning tools, angielski B2","Certyfikat CPLP/ATD, agile learning"
JP115,Project Manager (IT Infrastructure),Management / IT,InfraBuild,"Katowice, Polska",Senior,17 000-23 000 PLN brutto,Umowa o pracę,Zarządzanie portfelem projektów modernizacji data center i migracji do chmury.,"Planowanie harmonogramu, budżetu, ryzyk, raportowanie do C-level, koordynacja zespołów.","Prince2/PMP, ITIL, MS Project/Jira, angielski C1","Certyfikat AWS/Azure, doświadczenie w migracji DC"
JP116,Operations Manager,Management,LogiFast,"Łódź, Polska",Senior,16 000-22 000 PLN brutto,Umowa o pracę,Optymalizacja procesów operacyjnych łańcucha dostaw w e-commerce (2000 zamówień/dzień).,"Lean/Six Sigma, KPI, automatyzacja magazynu, zarządzanie zespołem 80 osób.","Operations management, Lean, Excel/SQL, angielski B2","Certyfikat Black Belt, doświadczenie WMS"
JP117,Finance Controller,Management / Finance,EuroBudget,"Warszawa, Polska",Mid,14 000-18 000 PLN brutto,Umowa o pracę,Kontrola finansowa i raportowanie IFRS dla grupy kapitałowej (przychód 500M PLN).,"Budżetowanie, forecast, analiza odchyleń, optymalizacja kosztów, wsparcie audytu.","Controlling, Excel VBA/Power BI, IFRS, angielski B2",ACCA/CIMA part-qualified
JP118,Marketing Manager (B2B SaaS),Management / Marketing,SaaSPro,"Gdańsk, Polska (remote-first)",Senior,15 000-20 000 PLN brutto,Umowa o pracę / B2B,Kreowanie i realizacja strategii marketingowej SaaS na rynki DACH i Nordics.,"Demand gen, inbound marketing, SEO/SEM, kampanie LinkedIn, growth metrics (CAC, LTV).","B2B marketing, HubSpot, Google Analytics, angielski C1","Niemiecki B2, ABM experience"
JP119,Customer Success Manager,Management / Customer,SupportHero,"Kraków, Polska (hybrydowo)",Mid,11 000-15 000 PLN brutto + bonus,Umowa o pracę,Budowanie relacji z klientami SaaS i zwiększanie retencji (churn <3%).,"Onboarding klienta, analiza health score, QBR, upsell, koordynacja z product i support.","Customer success, KPI, storytelling, angielski B2","Salesforce, Gainsight, doświadczenie w SaaS"
JP120,Change Management Lead,Management / HR,TransformIT,"Warszawa, Polska (hybrydowo)",Senior,18 000-24 000 PLN brutto,Umowa o pracę / B2B,Prowadzenie inicjatyw transformacji cyfrowej w grupie kapitałowej 2000+ pracowników.,"Strategia zarządzania zmianą, komunikacja, szkolenia, analiza interesariuszy, pomiar adopcji.","Change management (ADKAR/Prosci), komunikacja, leadership, angielski C1","Certyfikat Prosci, doświadczenie SAP S/4HANA rollout"
